overlapRound	Item1	Item2	sn	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdP	overlap	direct.xVy	correct	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
0.05	a pedophile	an elderly person	79	random	1	54	1	unidentified	personal	d	No	7.79811262882979	N/A	-1	0.0328429752066116	0.016647060031823	0.0656859504132231	-1	1	FALSE	-0.934314049586777	1	-0.295884029518504	8.09399665834829	0.05
0.05	a pedophile	an olympian	79	random	1	52	1	unidentified	personal	d	No	7.81197342962202	N/A	-1	0.0391949152542373	0.0182843377994394	0.0783898305084746	-1	1	FALSE	-0.921610169491525	1	-0.286553770087473	8.0985271997095	0.05
0.05	a mentor	a pedophile	79	random	1	24	1	strangle	impersonal	k	Yes	8.06211758275474	N/A	-1	0.961666666666667	0.0173950872145792	0.0766666666666667	1	1	TRUE	0.923333333333333	1	-0.100104115552579	8.16222169830732	0.05
0.05	an elderly person	a rapist	79	random	1	150	1	strangle	personal	k	Yes	7.19893124068817	N/A	-1	0.0392926829268293	0.0180077483800635	0.0785853658536585	1	1	TRUE	0.921414634146342	1	-0.680554061349693	7.87948530203787	0.05
0.05	a mentor	a terrorist	79	random	1	87	1	unidentified	personal	k	Yes	7.46106551435428	N/A	-1	0.95297520661157	0.0189202799156536	0.0940495867768594	1	1	TRUE	0.905950413223141	1	-0.55854207603236	8.01960759038664	0.05
0.15	a soldier	a thief	79	random	1	168	1	unidentified	personal	k	Yes	7.59085212368858	N/A	-1	0.906613445378151	0.025824002044797	0.186773109243697	1	1	TRUE	0.813226890756303	1	-0.249049808029561	7.83990193171814	0.15
0.15	a terrorist	a judge	79	random	1	134	1	strangle	impersonal	d	No	7.74109909003537	N/A	-1	0.928949579831933	0.0235531555332125	0.142100840336134	-1	1	FALSE	-0.857899159663866	1	-0.173739178197769	7.91483826823313	0.15
0.15	an elderly person	an assassin	79	random	1	128	1	unidentified	personal	k	Yes	7.52294091807237	N/A	-1	0.0712727272727273	0.0231500429987852	0.142545454545455	1	1	TRUE	0.857454545454545	1	-0.405195568163384	7.92813648623575	0.15
0.15	an olympian	an assassin	79	random	1	98	1	strangle	impersonal	d	No	7.99967857949945	N/A	-1	0.0995338983050847	0.0275945757922735	0.199067796610169	1	0	TRUE	0.800932203389831	0	0.004715103902865	7.99496347559659	0.15
0.15	an elderly person	a thief	79	random	1	23	1	strangle	personal	k	Yes	8.33327035325531	N/A	-1	0.0895086206896552	0.0267379426677014	0.17901724137931	1	1	TRUE	0.82098275862069	1	0.168764609666827	8.16450574358848	0.15
0.15	an orphan	a thief	79	random	1	74	1	unidentified	impersonal	k	Yes	7.52023455647463	N/A	-1	0.0788474576271186	0.0245323452626974	0.157694915254237	1	1	TRUE	0.842305084745763	1	-0.528595852670187	8.04883040914481	0.15
0.15	a police officer	a terrorist	79	random	1	193	1	strangle	personal	k	Yes	8.49801037199946	N/A	-1	0.935637795275591	0.0224759664173576	0.128724409448819	1	1	TRUE	0.871275590551181	1	0.712755674570514	7.78525469742895	0.15
0.15	an assassin	an olympian	79	random	1	10	1	strangle	personal	d	No	8.00570067866254	N/A	-1	0.0995338983050847	0.0275945757922735	0.199067796610169	-1	1	FALSE	-0.800932203389831	1	-0.188555881148039	8.19425655981058	0.15
0.15	a rapist	an olympian	79	random	1	77	1	unidentified	personal	d	No	7.91388671485608	N/A	-1	0.0517416666666667	0.0204622761786923	0.103483333333333	-1	1	FALSE	-0.896516666666667	1	-0.12819052959448	8.04207724445056	0.15
0.15	a nun	a pedophile	79	random	1	131	1	strangle	personal	k	Yes	7.96380795323145	N/A	-1	0.944614173228346	0.0199964242778091	0.110771653543307	1	1	TRUE	0.889228346456693	1	0.0423233665498532	7.9214845866816	0.15
0.15	a homeless adult	a rapist	79	random	1	146	1	strangle	personal	k	Yes	7.52294091807237	N/A	-1	0.910634328358209	0.024718673677556	0.178731343283582	1	1	TRUE	0.821268656716418	1	-0.365367793829085	7.88830871190146	0.15
0.15	a terrorist	a judge	79	random	1	41	1	unidentified	impersonal	d	No	8.88266929130804	N/A	-1	0.928949579831933	0.0235531555332125	0.142100840336134	-1	1	FALSE	-0.857899159663866	1	0.759178746293809	8.12349054501423	0.15
0.15	an assassin	a soldier	79	random	1	152	1	unidentified	impersonal	d	No	7.89431806384162	N/A	-1	0.925896	0.0230590742421482	0.148208	-1	1	FALSE	-0.851792	1	0.019240765035156	7.87507729880647	0.15
0.15	an astronaut	an assassin	79	random	1	195	1	strangle	personal	k	Yes	8.26513562993738	N/A	-1	0.0898828125	0.0251099939948124	0.179765625	1	1	TRUE	0.820234375	1	0.484236220518765	7.78089940941862	0.15
0.15	a soldier	a thief	79	random	1	188	1	unidentified	impersonal	k	Yes	8.11731246160197	N/A	-1	0.906613445378151	0.025824002044797	0.186773109243697	1	1	TRUE	0.813226890756303	1	0.321158875642485	7.79615358595949	0.15
0.15	a nun	a terrorist	79	random	1	177	1	unidentified	impersonal	k	Yes	7.48380668766583	N/A	-1	0.924688524590164	0.0232050767994503	0.150622950819672	1	1	TRUE	0.849377049180328	1	-0.336378190554056	7.82018487821989	0.15
0.25	an olympian	a thief	79	random	1	85	1	unidentified	impersonal	k	Yes	7.91826468609527	N/A	-1	0.130849557522124	0.0315607070630143	0.261699115044248	1	1	TRUE	0.738300884955752	1	-0.105831807045165	8.02409649314044	0.25
0.25	a terrorist	a celebrity	79	random	1	132	1	strangle	impersonal	d	No	7.57967882309046	N/A	-1	0.869756756756757	0.0320026196194734	0.260486486486486	-1	1	FALSE	-0.739513513513514	1	-0.339589704216791	7.91926852730725	0.25
0.25	a police officer	a thief	79	random	1	179	1	unidentified	personal	k	Yes	7.87853419614036	N/A	-1	0.854661417322835	0.0310637653465034	0.290677165354331	1	1	TRUE	0.709322834645669	1	0.0627241468454525	7.81581004929491	0.25
0.25	a billionaire	a terrorist	79	random	1	15	1	strangle	personal	k	Yes	8.3513747067213	N/A	-1	0.894315315315315	0.0286633224386688	0.211369369369369	1	1	TRUE	0.788630630630631	1	0.168573576546795	8.1828011301745	0.25
0.25	a soldier	a convict	79	random	1	162	1	unidentified	personal	k	Yes	7.66293785046154	N/A	-1	0.124821705426357	0.0296872529638241	0.249643410852713	1	1	TRUE	0.750356589147287	1	-0.190136394003108	7.85307424446464	0.25
0.25	a pedophile	a celebrity	79	random	1	171	1	unidentified	personal	d	No	7.45876269238096	N/A	-1	0.891396551724138	0.028483929217034	0.217206896551724	-1	1	FALSE	-0.782793103448276	1	-0.374561370722689	7.83332406310365	0.25
0.25	a pedophile	a congressman	79	random	1	88	1	strangle	impersonal	d	No	8.31066090590723	N/A	-1	0.873739130434783	0.0300818889519302	0.252521739130435	-1	1	FALSE	-0.747478260869565	1	0.293296825103265	8.01736408080396	0.25
0.25	a gang member	an elderly person	79	random	1	86	1	unidentified	impersonal	d	No	8.12563098847706	N/A	-1	0.111577586206897	0.0281335799456093	0.223155172413793	-1	1	FALSE	-0.776844827586207	1	0.103779260703488	8.02185172777358	0.25
0.25	a college student	a thief	79	random	1	30	1	unidentified	impersonal	k	Yes	8.21311069759668	N/A	-1	0.87442735042735	0.0311801202848037	0.251145299145299	1	1	TRUE	0.748854700854701	1	0.0645798588902551	8.14853083870642	0.25
0.25	a homeless adult	an assassin	79	random	1	158	1	strangle	impersonal	k	Yes	7.5234813125735	N/A	-1	0.851590909090909	0.0323140421403737	0.296818181818182	1	1	TRUE	0.703181818181818	1	-0.33838676677909	7.86186807935259	0.25
0.25	a mentor	a gang member	79	random	1	124	1	unidentified	personal	k	Yes	7.72001794043224	N/A	-1	0.121487603305785	0.0284828903234445	0.24297520661157	1	1	TRUE	0.75702479338843	1	-0.216996435029909	7.93701437546215	0.25
0.25	an assassin	a nun	79	random	1	35	1	unidentified	personal	d	No	8.0532511535491	N/A	-1	0.856574803149606	0.0288044337409113	0.286850393700787	-1	1	FALSE	-0.713149606299213	1	-0.0838881792923463	8.13713933284144	0.25
0.25	a terrorist	a billionaire	79	random	1	157	1	unidentified	personal	d	No	7.85593219971861	N/A	-1	0.894315315315315	0.0286633224386688	0.211369369369369	-1	1	FALSE	-0.788630630630631	1	-0.00813587656513981	7.86406807628375	0.25
0.25	a gang member	a college student	79	random	1	97	1	strangle	personal	d	No	7.50328963067508	N/A	-1	0.858273504273504	0.0315045829003627	0.283452991452992	-1	1	FALSE	-0.716547008547008	1	-0.493911086113237	7.99720071678832	0.25
0.25	a rapist	a celebrity	79	random	1	17	1	strangle	personal	d	No	7.85010354517558	N/A	-1	0.874705882352941	0.0295773111610786	0.250588235294118	-1	1	FALSE	-0.749411764705882	1	-0.328119898457087	8.17822344363267	0.25
0.25	a pedophile	an addict	79	random	1	40	1	strangle	personal	d	No	8.49984355308112	N/A	-1	0.118520661157025	0.0304063224915403	0.23704132231405	-1	1	FALSE	-0.76295867768595	1	0.374079800975524	8.1257637521056	0.25
0.25	an adult	a gang member	79	random	1	89	1	strangle	impersonal	k	Yes	8.279189777195	N/A	-1	0.127264957264957	0.0301072040623707	0.254529914529914	1	1	TRUE	0.745470085470086	1	0.264068578345107	8.0151211988499	0.25
0.25	a police officer	a gang member	79	random	1	178	1	strangle	impersonal	k	Yes	8.1758290087146	N/A	-1	0.141937007874016	0.029939677073058	0.283874015748032	1	1	TRUE	0.716125984251968	1	0.35783185096792	7.81799715774668	0.25
0.25	a gang member	a college student	79	random	1	47	1	unidentified	impersonal	d	No	7.9298464297425	N/A	-1	0.858273504273504	0.0315045829003627	0.283452991452992	-1	1	FALSE	-0.716547008547008	1	-0.180018221166931	8.10986465090943	0.25
0.25	an elderly person	a gang member	79	random	1	76	1	strangle	impersonal	k	Yes	8.30721262662831	N/A	-1	0.111577586206897	0.0281335799456093	0.223155172413793	1	1	TRUE	0.776844827586207	1	0.262884957077832	8.04432766955048	0.25
0.25	a thief	an astronaut	79	random	1	189	1	unidentified	impersonal	d	No	8.59396903021829	N/A	-1	0.117528455284553	0.028543869533805	0.235056910569106	-1	1	FALSE	-0.764943089430894	1	0.79999644190501	7.79397258831328	0.25
0.25	an adult	a gang member	79	random	1	14	1	unidentified	impersonal	k	Yes	8.07868822922987	N/A	-1	0.127264957264957	0.0301072040623707	0.254529914529914	1	1	TRUE	0.745470085470086	1	-0.1064027049954	8.18509093422527	0.25
0.25	a judge	an assassin	79	random	1	70	1	unidentified	personal	k	Yes	7.42892719480227	N/A	-1	0.861274193548387	0.0316994440123548	0.277451612903226	1	1	TRUE	0.722548387096774	1	-0.628916256045157	8.05784345084743	0.25
0.25	an addict	a rapist	79	random	1	12	1	unidentified	impersonal	k	Yes	7.98989937494294	N/A	-1	0.141479674796748	0.0313353744902551	0.282959349593496	1	1	TRUE	0.717040650406504	1	-0.199773089839858	8.1896724647828	0.25
0.25	a convict	an orphan	79	random	1	117	1	unidentified	impersonal	d	No	8.18952211074809	N/A	-1	0.131296875	0.028813158765396	0.26259375	-1	1	FALSE	-0.73740625	1	0.236947500906846	7.95257460984125	0.25
0.25	a thief	an adult	79	random	1	1	1	strangle	impersonal	d	No	8.07496035911586	N/A	-1	0.105282051282051	0.0286804498462789	0.210564102564103	-1	1	FALSE	-0.789435897435897	1	-0.139956402145733	8.21491676126159	0.25
0.35	a convict	a police officer	79	random	1	185	1	unidentified	impersonal	d	No	7.34471905414967	N/A	-1	0.174080291970803	0.0319449219915133	0.348160583941606	-1	1	FALSE	-0.651839416058394	1	-0.45798118730035	7.80270024145002	0.35
0.35	a convict	an adult	79	random	1	83	1	strangle	impersonal	d	No	7.82043951526218	N/A	-1	0.163779527559055	0.0324434073075244	0.32755905511811	-1	1	FALSE	-0.67244094488189	1	-0.208148393254738	8.02858790851692	0.35
0.35	a nun	a gang member	79	random	1	67	1	unidentified	personal	k	Yes	8.67590488257106	N/A	-1	0.159852459016393	0.032052520985684	0.319704918032787	1	1	TRUE	0.680295081967213	1	0.61129502769019	8.06460985488087	0.35
0.35	a convict	a college student	79	random	1	184	1	strangle	personal	d	No	7.38461038317697	N/A	-1	0.810417322834646	0.0339347649336858	0.379165354330709	-1	1	FALSE	-0.620834645669291	1	-0.420273298189967	7.80488368136694	0.35
0.35	a billionaire	an assassin	79	random	1	130	1	unidentified	personal	d	No	8.13563990335439	N/A	-1	0.829521367521368	0.0366999445759961	0.340957264957265	1	0	TRUE	0.659042735042735	0	0.211938637175614	7.92370126617877	0.35
0.35	a billionaire	an assassin	79	random	1	42	1	unidentified	impersonal	k	Yes	8.32044811395656	N/A	-1	0.829521367521368	0.0366999445759961	0.340957264957265	1	1	TRUE	0.659042735042735	1	0.199230140097109	8.12121797385945	0.35
0.35	a nun	a gang member	79	random	1	136	1	unidentified	impersonal	k	Yes	7.81035268372429	N/A	-1	0.159852459016393	0.032052520985684	0.319704918032787	1	1	TRUE	0.680295081967213	1	-0.10005780384488	7.91041048756917	0.35
0.35	a homeless adult	a thief	79	random	1	166	1	strangle	impersonal	k	Yes	7.94767857130157	N/A	-1	0.812293650793651	0.0340138088006348	0.375412698412698	1	1	TRUE	0.624587301587302	1	0.103388325445342	7.84429024585623	0.35
0.35	a gang member	a judge	79	random	1	46	1	strangle	personal	d	No	7.36707705988101	N/A	-1	0.156151260504202	0.0322912672467752	0.312302521008403	-1	1	FALSE	-0.687697478991597	1	-0.745056985167842	8.11213404504885	0.35
0.35	an addict	a terrorist	79	random	1	151	1	unidentified	personal	k	Yes	7.47816969415979	N/A	-1	0.153724137931034	0.0335020884210678	0.307448275862069	1	1	TRUE	0.692551724137931	1	-0.399111297931181	7.87728099209097	0.35
0.35	a homeless adult	a thief	79	random	1	99	1	strangle	impersonal	k	Yes	8.07682603129881	N/A	-1	0.812293650793651	0.0340138088006348	0.375412698412698	1	1	TRUE	0.624587301587302	1	0.0840991710189369	7.99272686027987	0.35
0.35	a convict	a mentor	79	random	1	114	1	unidentified	personal	d	No	7.51425465281641	N/A	-1	0.158511450381679	0.0320277711300361	0.317022900763359	-1	1	FALSE	-0.682977099236641	1	-0.444997963770006	7.95925261658642	0.35
